renderer,descriptor,target,is_predeclared_nominal_pair,n_images,n_seed_clusters,rho,cluster_ci_lower,cluster_ci_upper
internal_OpenCV,canny_edge_density,visual_salience_index,False,1250,10,-0.001465789389656745,-0.029798288196879873,0.03172059860000048
internal_OpenCV,canny_edge_density,focal_hierarchy_index,False,1250,10,0.7214921075281924,0.6891417209390771,0.7481132362517832
internal_OpenCV,multiscale_lab_residual_entropy,structural_clutter_index,True,1250,10,0.7091655235495421,0.6683752511072666,0.765839536980816
internal_OpenCV,multiscale_lab_residual_entropy,geometric_order_index,False,1250,10,0.09430185800852216,0.08256379737095636,0.10608540391652072
internal_OpenCV,multiscale_lab_residual_entropy,palette_coherence_index,False,1250,10,-0.04109186923761317,-0.10688217256317213,0.02264550617658843
internal_OpenCV,multiscale_lab_residual_entropy,visual_salience_index,False,1250,10,0.4586167395844187,0.382679276626306,0.5439321882381635
internal_OpenCV,multiscale_lab_residual_entropy,focal_hierarchy_index,False,1250,10,0.2998740767200546,0.27327506800044954,0.33183604323580146
internal_OpenCV,jpeg_bytes_per_pixel_q90,structural_clutter_index,True,1250,10,0.7739835905663489,0.7388105082249709,0.8115689758678337
internal_OpenCV,jpeg_bytes_per_pixel_q90,geometric_order_index,False,1250,10,0.2364797665005936,0.2201669567780016,0.2540712388760798
internal_OpenCV,jpeg_bytes_per_pixel_q90,palette_coherence_index,False,1250,10,-0.012934881608222858,-0.11336515097184945,0.07011866646276263
internal_OpenCV,jpeg_bytes_per_pixel_q90,visual_salience_index,False,1250,10,0.15781464813193297,0.08146285029151618,0.2427744895250559
internal_OpenCV,jpeg_bytes_per_pixel_q90,focal_hierarchy_index,False,1250,10,0.36486446281684753,0.3408096682600978,0.39172879298124785
internal_OpenCV,hasler_susstrunk_colourfulness,structural_clutter_index,False,1250,10,0.0002680722432333226,-0.005860211693225662,0.007250071914563121
internal_OpenCV,hasler_susstrunk_colourfulness,geometric_order_index,False,1250,10,0.009032937225207045,0.005115088047822442,0.012854973065156976
internal_OpenCV,hasler_susstrunk_colourfulness,palette_coherence_index,True,1250,10,0.005344200451359045,-0.05397386210648003,0.061645115602377315
